name,year,simple_average,simple_average,expedited_average,expedited_median,complex_average,complex_median
Mine Safety and Health Administration,2012,NA,NA,174.4,51,38.6,11
Indianapolis District Office,2012,10.08,10,NA,NA,NA,NA
Commodity Futures Trading Commission,2011,28.39,13.5,NA,NA,1,119.26
Departmental Offices,2008,NA,NA,NA,NA,52,71
Office of Science and Technology Policy,2012,12.3,9,31.14,21,42.71,30
OCR Region VI - Dallas,2010,18,19,1,1,24,21
United States Marshals Service,2010,10.46,2,1,3.67,1,23.27
Chicago Operations Office,2012,4.12,3,NA,NA,34,16
Federal Mediation and Conciliation Service,2008,8,8,2,2,NA,NA
National Labor Relations Board,2012,6,4,20,5,NA,NA
Drug Enforcement Administration,2011,33.92,8,NA,NA,1,31.4
United States Patent and Trademark Office,2009,7,5,NA,NA,NA,NA
San Francisco Regional Office,2013,4.17,3.5,NA,NA,NA,NA
United States Copyright Office,2013,13.4,10,NA,NA,NA,NA
U.S. Office of Special Counsel,2013,31.54,14,1,204.33,28,291.62
National Mediation Board,2008,13,17,NA,NA,NA,NA
United States Coast Guard,2011,11.5,5,NA,NA,43.8,45
Region 8 - Denver,2013,20.27,20,NA,NA,0.5,0.5
Defense Logistic Agency,2010,12,1,NA,NA,314,30
Commodity Futures Trading Commission,2008,23.7,14,NA,NA,NA,NA
Health Resources and Services Administration,2009,NA,NA,NA,NA,17,15
Office of Construction & Facilities Management,2008,NA,NA,NA,NA,14.4,9
Field Office,2009,NA,NA,NA,NA,NA,NA
Naval Reactors,2009,20,19,NA,NA,77,77
Atlanta Regional Office,2013,12,10,NA,NA,NA,NA
Office of Legal Affairs,2013,12.625,9,NA,NA,NA,NA
Dryden Flight Research Center,2013,1,0.5,NA,NA,3,34.86
Region 8 - Denver,2010,25,45,NA,NA,19,21
Federal Bureau of Investigation,2011,34.17,12,4,110.67,1,212.31
United States International Trade Commission,2008,16,16,10.5,10.5,NA,NA
United States National Central Bureau -- INTERPOL,2012,27.14,12,4,11,54,119.17
St. Louis District Office,2010,14.2394,17,NA,NA,NA,NA
Department of the Treasury,2010,17.79,6,NA,44,2722,14.016
Bureau of Land Management,2010,5,3,NA,NA,476,32
Carlsbad Field Office,2011,10.83,10,NA,NA,NA,NA
Office of Public Affairs,2013,NA,NA,NA,NA,15.1,13
"TRICARE Management Agency, DoD Health Care System",2013,21,12,18,18,16,59
Foreign Claims Settlement Commission,2013,15.58,9,NA,NA,NA,NA
AMTRAK (National Railroad Passenger Corporation),2010,10,1,NA,NA,35,6
Region 2,2013,10.42,11,NA,NA,21,43
OCR Regional Enforcement Office - Chicago,2009,12,13,NA,NA,NA,NA
Office of the Chief Financial Officer - Contracts & Acquisitions Mgmt,2008,229,181,NA,NA,104,94
United States Geological Survey,2008,NA,NA,NA,NA,NA,6.38
United States Merit Systems Protection Board,2012,10,18,8,8,NA,NA
Region 6,2010,44.01,26,7,22.25,17,359
United States International Trade Commission,2012,12,11,3,14,NA,NA
Bureau of International Labor Affairs,2012,1,1,NA,NA,57.7,16
Minority Business Development Agency,2013,20,20,NA,NA,118,118
United States Department of the Army,2012,NA,8,NA,148,1641,NA
Phoenix District Office,2012,11.49,14,NA,NA,NA,NA
United States Department of the Army,2010,1984,28,NA,NA,273,7
Bureau of Industrty and Security,2008,11,9,14,14,46,46
Department of Education,2013,25.51,12,NA,312,817,54.14
Office of Community Oriented Policing Services,2010,3.82,1,NA,NA,NA,NA
Occupational Safety and Health Review Commission,2013,9.8,7.5,NA,NA,55,55
OCR Region IX - San Francisco,2010,4,3,NA,NA,15,13
Office of Management and Budget,2011,82,66,NA,NA,NA,NA
National Reconnaissance Office,2011,10,6,NA,NA,6,196
Farm Credit System Insurance Corporation,2008,10,8,NA,NA,NA,NA
Pension Benefit Guaranty Corporation,2012,7,7,NA,NA,NA,NA
Denver Regional Office,2010,12,9,NA,NA,NA,NA
Office of Small & Disadvantaged Business Utilization,2008,NA,NA,NA,NA,NA,NA
Administrative Conference of the United States,2012,2,3,3,3,NA,NA
Office of Legal Counsel/Headquarters,2010,18.7553,17,NA,NA,NA,NA
Office of the Pardon Attorney,2010,7.29,5,NA,NA,NA,NA
OCR Regional Enforcement Office - Kansas City,2009,7,2,NA,NA,NA,NA
Immigration and Customs Enforcement,2010,10,7,37,21,26,13
Executive Office for Organized Crime Drug Enforcement Task Forces,2010,67,67,NA,NA,NA,NA
Goddard Space Flight Center,2011,16.77,10,NA,NA,298,36.66
Defense Commissary Agency,2009,16,14,NA,NA,NA,NA
Antitrust Division,2012,4.4,3,NA,66,1021,233.63
OCR District of Columbia,2013,25.19,19.5,NA,NA,4,86.69
United States Central Command,2008,34,19,NA,NA,138,23
Departmental Offices,2013,38,16,36.6,21,132.9,62
Dallas Regional Office,2009,6,6,NA,NA,NA,NA
Federal Highway Administration,2010,31,12,31,25,1012,190
"Office of Planning, Evaluation, and Policy Development",2010,132,113,NA,NA,88,51
Office for Civil Rights (Headquarters),2010,39,33,NA,NA,106,44
Region 2 - New York,2011,16,16,2,2,30,20
United States Visitor and Immigrant Status Indicator Technology,2011,10,9,NA,NA,76,29
Bureau of Ocean Energy Management,2013,4,2,99,99,95,30
Executive Secretariat,2011,NA,NA,NA,NA,17.8,17.5
National Geospatial Command,2009,120,19,NA,NA,350,346
Office of Policy and Planning,2009,20,20,NA,NA,NA,NA
Chicago Regional Office,2010,13,6,NA,NA,NA,NA
Federal Student Aid,2011,38.9,27,NA,NA,119.89,95
Office of Labor Management Standards,2010,8.7,9,6.5,6,27.9,12
Office of General Counsel,2009,NA,NA,NA,NA,NA,NA
OCR Regional Enforcement Office - Dallas,2009,14,10,56,56,24,17
Administration for Children and Families,2012,227,87,NA,4,71,33
Department of Veterans Affairs,2011,8,1.48,NA,NA,1,1748
Federal Labor Relations Authority,2010,15,9,NA,NA,NA,NA
Office of the Assistant Secretary for Administration and Management,2011,21.7,23,NA,NA,50,35
Ames Research Center,2012,12.96,10,NA,NA,533,60.35
Office of the Under Secretary,2010,NA,NA,NA,NA,NA,NA
Federal Service Impasses Panel,2008,1,1,NA,NA,NA,NA
Internal Revenue Service,2013,20.04,16,NA,NA,5,41.6
Office of Resolution Management,2009,17.25,17,NA,NA,NA,NA
Environmental Management Consolidated Business Center,2010,50.38,22.5,NA,NA,127,48.71
Office of General Counsel,2013,33,23,NA,NA,NA,NA
Goddard Space Flight Center,2008,28,11,NA,NA,82,51
Environmental Protection Agency,2012,16.93,15,346,24,1186,45.91
Office of Professional Responsibility,2013,32.08,16,13,13,2,255.23
United States Postal Service,2013,13.63,6,24,1,1059,49.62
Federal Aviation Administration,2010,19,8,NA,189,1502,56
Office of the Chief Information Officer,2008,NA,NA,NA,NA,NA,NA
Oak Ridge Office,2008,50,39,NA,NA,117,81
Bureau of Public Debt,2010,8.2,6,NA,NA,NA,NA
Region 7,2008,20.64,15,NA,NA,114,77
Farm Credit Administration,2008,9,9,NA,NA,NA,NA
National Park Service,2008,11,12,5,5,NA,21.22
Office of Policy and Planning,2012,82.5,82.5,NA,NA,77.5,77.5
Marshall Space Flight Center,2009,15,14,NA,NA,37,35
Administrative Law Judges,2008,NA,NA,NA,NA,11.7,2
United States Consumer Product Safety Commission,2011,51,9,NA,NA,97,64
Office of Professional Responsibility,2010,21.96,18,8,8.5,218.65,104
Office of Justice Programs,2011,19.09,7,NA,NA,863,139.39
Office of the Assistant Secretary for Public & Intergovernmental Affairs,2010,58,58,NA,NA,NA,NA
National Guard Bureau,2012,6,5,NA,NA,337,69
Miami District Office,2011,18.1431,18,NA,NA,NA,NA
Administration on Aging,2009,NA,NA,NA,NA,5,4
Department of Defense Inspector General,2008,18,15,NA,NA,NA,NA
National Protection and Programs Directorate,2011,49.9,27,NA,NA,127.26,121.5
Office on Violence Against Women,2011,11.04,10,NA,NA,NA,NA
Council on Environmental Quality,2013,47,35,33,116,15,106
National Capital Planning Commission,2013,3.67,2,NA,NA,NA,NA
Region 4,2011,23.73,19,11,11,4,64.3
Office of Finance,2009,25.5,31,NA,NA,NA,NA
Office of Thrift Supervision,2011,15,7,NA,NA,23,11
Professional Responsibility Advisory Office,2012,14.38,13.5,NA,NA,19,13
Internal Revenue Service,2011,19,14,NA,NA,21,18
Office of the Assistant Secretary for Policy,2008,2.7,1,NA,NA,9,9
United States Central Command,2011,130,31,NA,NA,452,351
United States African Development Foundation,2011,4,3,7,7,NA,NA
"Office of Planning, Evaluation, and Policy Development",2009,174,8,NA,NA,54,38
Defense Intelligence Agency,2011,9,9,NA,NA,924,801
Bureau of Labor Statistics,2012,18.9,20,91,91,30.5,20
National Park Service,2010,43,5,NA,124,19,424
Defense Intelligence Agency,2010,11,11,NA,NA,1060,938
Office of Civil Rights,2011,11.68,9.5,NA,NA,32,32
Institute of Education Sciences - National Assessment Governing Board,2013,60,60,NA,NA,NA,NA
Multiple Offices Assigned,2012,114.93,39,119.5,85.5,151.52,107.5
Office of the Chief Information Officer,2009,NA,NA,NA,NA,NA,NA
AMTRAK (National Railroad Passenger Corporation),2008,10,4,17,2,228,27
Federal Financial Institutions Council,2010,4.15,4,NA,NA,20,20
Glenn Research Center,2013,4.8,2,NA,NA,13.2,4
OCR Region X - Seattle,2012,7.91,6,NA,NA,13.8,14
United States Joint Forces Command,2008,184,108,NA,NA,31,31
Federal Aviation Administration,2013,17,12,NA,445,1074,51
Farm Credit Administration,2012,11.71,12.5,11,8,NA,NA
Administrative Law Judges,2010,NA,NA,6.8,2,9.7,4
National Telecommunications and Information Administration,2011,9,6,1,1,151,64
Federal Highway Administration,2008,28,13,2,72,5,90
Office of Information Policy,2009,21,7,NA,NA,567,414
Region 1,2010,19.82,15,5,5,32,187
United States Railroad Retirement Board,2008,12.9,15,NA,NA,NA,NA
National Appeals Division,2010,3,2,NA,NA,NA,NA
United States Southern Command,2010,13,9,NA,NA,NA,NA
Office of the Secretary/Office of the Chief Information Officer/Departmental Management,2013,37.03,16,NA,NA,135.57,55.5
Agency for Healthcare Research and Quality,2009,12,NA,25,25,13,NA
National Science Foundation,2008,20.26,16,NA,NA,NA,NA
NSF Foundation,2008,21.12,17.5,NA,NA,NA,NA
Federal Trade Commission,2011,5.29,3,11.4,16,49.48,26.5
Defense Technology and Research Agency,2010,4,2,NA,NA,266,35
Region 6 - Fort Worth,2013,14.79,13,NA,NA,12.88,6
United States Africa Command,2012,21,16,44,44,103,76
"Office of Acquisition, Logistics, and Construction (formerly A&MM - Acquisition & Material Management)",2012,18.57,5,NA,NA,133,15.91
Defense Information Service Agency,2012,94,76,NA,NA,9,5
Court Services and Offender Supervision Agency,2010,42.1,23,NA,NA,NA,NA
Boston Regional Office,2011,11,11,NA,NA,NA,NA
Department of Housing and Urban Development,2013,17.21,14,8.89,1.5,23.89,16.5
United States Agency for International Development,2008,NA,NA,NA,NA,NA,NA
Office of Innovation and Improvement,2013,39,45,NA,NA,41.62,23
Defense Nuclear Facilities Safety Board,2012,11,11,NA,NA,NA,NA
Department of Transportation,2008,37,16,NA,1646,1531,101
Dallas Regional Office,2012,14,14,NA,NA,NA,NA
Region 2,2011,104.88,96,NA,NA,20,74.43
Alcohol and Tobacco Tax and Trade Bureau,2009,10.5,9,NA,NA,14,14
OCR Region V - Chicago,2013,13.96,16,NA,NA,2,17.57
"United States Section, International Boundary and Water Commission",2009,NA,NA,NA,NA,NA,NA
U. S. General Services  Administration,2009,21,20,NA,NA,NA,NA
Wage and Hour Division,2009,19,8,4,2,53,24
Civil Division,2010,28.94,12,NA,NA,NA,NA
Office of Community Oriented Policing Services,2008,3.6,1,NA,NA,NA,NA
Atlanta District Office,2013,21.6,16,NA,NA,NA,NA
National Telecommunications and Information Administration,2012,7,4,8,4,110,29
Environment and Natural Resources Division,2010,30.31,17,NA,NA,7,7
"TRICARE Management Agency, DoD Health Care System",2010,2,2,NA,NA,432,65
Fish & Wildlife Service,2013,5,3,46,3,894,41
Office of Communications and Outreach,2013,15,20,NA,NA,119,119
United States International Trade Commission,2011,16,15,6,6,NA,NA
National Geospatial Command,2008,194,149,NA,NA,370,362
Bonneville Power Administration,2013,9.91,5,NA,NA,302,40.27
Defense Information Service Agency,2013,116,107,NA,NA,17,18
Office of Safe and Drug-Free Schools,2013,NA,NA,NA,NA,NA,NA
National Nuclear Security Administration Service Center Albuquerque,2009,20,15,NA,NA,935,120
Office of Communications and Outreach,2012,75,75,NA,NA,219.4,206
Farm Credit System Insurance Corporation,2012,13.8,13,9.33,7,NA,NA
Los Angeles District Office,2011,8.3125,8,NA,NA,NA,NA
Department of Defense,2012,2939,11,NA,NA,391,14
Food and Nutrition Consumer Service,2011,25.88,17,65,65,33.5,28.5
Special Inspector General for Afghanistan Reconstruction,2013,20,20,NA,NA,NA,NA
United States Mint,2010,10,8,NA,NA,3,3
OCR Region VI - Dallas,2012,18.85,19,NA,NA,21.47,19
Naval Reactors Laboratory Field Office,2010,18.22,12,NA,NA,NA,NA
Office of Postsecondary Education,2010,78,68,NA,NA,52,50
Office of the Chief Financial Officer - Financial Systems Services,2010,382,382,NA,NA,NA,NA
United States Agency for International Development,2010,84.57,46,1,163.17,3,354.98
Privacy Office,2008,8.85,8,NA,NA,62.4,34
National Capital Planning Commission,2012,3,3,NA,NA,NA,NA
Office of Labor Management Standards,2013,12,12,NA,NA,20.6,14
United States Commission on Civil Rights,2010,15,7.5,NA,NA,NA,NA
Office on Violence Against Women,2010,10.25,8,2,2.5,8,25.75
Centers for Disease Control and Prevention,2012,74,18,NA,NA,102,62
Goddard Space Flight Center,2013,5.94,4,NA,NA,140,27.32
Defense Contract Management Agency,2009,20,11,NA,NA,133,65
Memphis District Office,2011,17.0733,18,NA,NA,NA,NA
Farm Service Agency,2011,1,1,2,2,16,2
OCR Regional Enforcement Office - District of Columbia,2009,5,1,NA,NA,116,87
Office of Surface Mining,2009,154,20.94,NA,NA,NA,NA
United States National Central Bureau -- INTERPOL,2013,7.99,2,10,2,220,30.78
Defense Contract Management Agency,2012,66,258,NA,NA,137,223
Financial Crimes Enforcement Network,2013,1,1,NA,NA,24,9
Region 10 -Seattle,2010,14,25,8,6,27,54
Office of Navajo and Hopi Indian Relocation,2011,4.43,3,NA,NA,NA,NA
Region 6,2011,33.3,25,NA,NA,76,455.67
OFFICE OF THE U.S. TRADE REPRESENTATIVE,2010,46,45,13,11,269,186
Corporation for National and Community Service,2010,20,17,18,18,17,40.3
Social Security Administration,2010,18,10,NA,NA,50,42
Department of Labor,2009,NA,NA,NA,NA,NA,NA
Office of the Solicitor,2009,107,48,NA,NA,NA,NA
Office of the Solicitor,2011,209,78,NA,NA,NA,NA
Commodity Futures Trading Commission,2009,15.26,9.5,NA,NA,NA,NA
United States Transportation Command,2011,17,3,NA,NA,187,86
Federal Aviation Administration,2009,30,5,NA,291,1086,48
Wage and Hour Division,2010,17.7,10,8.6,6,37.6,27
Office of Community Oriented Policing Services,2012,4.7,3,NA,NA,NA,NA
United States African Development Foundation,2013,7,6.5,NA,NA,NA,NA
United States Securities and Exchange Commission,2011,11,4,138,4,1242,164
Golden Field Office,2008,13,8,NA,NA,51,41
Office of Small Business Programs,2009,NA,NA,NA,NA,29.5,29.5
Office of Management and Administrative Programs,2009,NA,NA,NA,NA,19.7,18
Federal Energy Regulatory Commission,2009,21,20,39,30,24,26
Office of Inspector General,2013,18,4,353,1,1492,354
Veterans Health Administration,2010,10.12,2,NA,NA,72,7.5
Management Directorate,2008,7.9,4,NA,NA,31.4,29
United States Marshals Service,2013,77,3,16,28.5,16,123.25
National Endowment for the Humanities,2011,17.2,17.5,35.5,35.5,42.1,28
Region 1 - Boston,2013,12.73,14,18,18,18.1,16
Equal Employment Opportunity Commission,2012,18,17,7.77,5,NA,NA
Millennium Challenge Corporation,2012,15,17,NA,NA,NA,NA
National Energy Technology Laboratory,2008,23,33,NA,NA,NA,NA
Department of Housing and Urban Development,2011,1,28,NA,83,674,1
Office of Vocational and Adult Education,2012,21.8,18,NA,NA,NA,NA
National Telecommunications and Information Administration,2009,9,7,19,19,NA,NA
Region 1 - Boston,2012,14.18,15,10.83,7,20.63,20
Atlanta District Office,2012,30.04,21,NA,NA,NA,NA
Region 5 - Chicago,2011,15,13,NA,NA,22,17
Saint Lawrence Seaway Development Corporation,2011,12,12,NA,NA,63,61
Region 10,2008,23.99,16.5,NA,NA,65.81,59
Department of Homeland Security,2009,103.86,40,1,91.28,1,309.89
Social Security Administration,2013,17,18,NA,NA,64,45
Dryden Flight Research Center,2009,51,515,NA,NA,35,177
United States Small Business Administration,2011,5.61,2,NA,15,47,35.5
Special Inspector General for Afghanistan Reconstruction,2010,NA,NA,NA,NA,NA,NA
Birmingham District Office,2011,18.6876,19,NA,NA,NA,NA
South Eastern Power Administration,2012,4.33,3,NA,NA,NA,NA
United States Securities and Exchange Commission,2013,14.51,5,344,2,803,514
Defense Finance and Accounting Service,2010,11,4,6,7,23,18
United States Nuclear Regulatory Commission,2012,10,7,366,15,437,51
United States Copyright Office,2008,14,4,NA,NA,NA,NA
OCR Region X - Seattle,2010,6,4,NA,NA,12,10
Minority Business Development Agency,2009,19,12,NA,NA,NA,NA
Risk Management Agency,2010,12,9,NA,NA,32,32
United States Central Command,2009,79,6,NA,NA,428,394
Federal Bureau of Investigation,2008,49,8,109,59,374,302
OCR Regional Enforcement Office - Kansas City,2008,47,27,NA,NA,NA,NA
OCR Region IV - Atlanta,2012,27.31,16.5,NA,NA,39,21
Strategic Petroleum Reserve,2013,3,3,NA,NA,8,8
Region 5 - Chicago,2012,15.49,17,NA,NA,12.75,12
Chicago District Office,2012,16.38,18,NA,NA,NA,NA
Office of Management and Budget,2013,31,18,NA,NA,NA,NA
Office of the Deputy Attorney General,2012,41.88,17,60,288.13,7,283.12
Chicago Operations Office,2009,5,2,NA,NA,16,16
"Adjudicatory Boards (ARB, BRB, ECAB)",2012,27,9,1,1,13,13
Professional Responsibility Advisory Office,2011,30.56,9,NA,NA,NA,NA
Defense Technology and Research Agency,2011,17,9,NA,NA,58,35
Office of General Counsel,2010,20,20,NA,NA,NA,NA
Risk Management Agency,2011,14,12,NA,NA,59,31
Federal Emergency Management Agency,2010,196.65,133,196.75,59,425.58,390
Health Resources and Services Administration,2011,NA,NA,NA,NA,17,15
National Archives and Records Administration,2012,57.5,6,10,8,917,357
Office of Workers Compensation Programs,2012,71.2,12,5,5,89.4,15
United States Agency for International Development,2009,NA,NA,NA,NA,NA,NA
Office of Management - Regulatory Information Management Services,2009,11,6,NA,NA,32,9
Birmingham District Office,2013,22.95,22,NA,NA,14,14
U. S. General Services  Administration,2008,14.6,21,NA,NA,NA,NA
Office of Inspector General for the USPS,2012,6.74,3,1,1,30.7,21
Office of Legislative Affairs,2008,138,70,207,216,560,340
United States African Development Foundation,2012,10,10,3,3,NA,NA
Department of the Interior,2008,2,1,NA,8,NA,25.64
Office of Information and Technology,2008,NA,NA,5,5,16,2
Officer of Special Education and Rehabilitative Services,2009,53,19,NA,NA,59,53
United States Africa Command,2011,17,25,NA,NA,28,28
General Counsel,2012,56,56,NA,NA,24.8,19
Job Corps,2008,5,3,NA,NA,NA,NA
Office of Federal Housing Enterprise Oversight,2008,11,15,12,12,NA,NA
United States Africa Command,2009,11,6,NA,NA,35,35
Department of Justice,2010,26.35,13,NA,1869,2481,113.48
Richland Operations Office,2013,13.86,11,NA,NA,10,21.5
National Oceanic and Atmospheric Administration,2013,10,9,40,40,118,66
Defense Nuclear Facilities Safety Board,2011,14,14,NA,NA,62,62
Federal Maritime Commission,2010,133,48,NA,NA,NA,NA
American Battle Monuments Commission,2012,13,14,NA,NA,NA,NA
National Highway Traffic Safety Administration,2009,23,20,17,8,21,30
National Transportation Safety Board,2013,29.77,20,62,62,1304,184.18
Oak Ridge Office,2011,15.16,12,18,18,182,38.5
Central Intelligence Agency,2012,32,12,84,58,93,30
United States Southern Command,2013,10,21,NA,NA,202,145
National Cemetery Administration,2008,NA,NA,2,2,14,13.5
Criminal Division,2013,23.62,16,NA,NA,7,101.03
Office of the Comptroller of the Currency,2008,10,5,NA,NA,15,10
Employment and Training Administration,2012,14.1,8,8.6,6,16.7,9
OCR Regional Enforcement Office - New York,2008,64,27,3,3,62,29
United States Pacific Command,2009,15,64,1,1,365,92
Defense Information Service Agency,2011,65,34,1,1,29,27
Institute of Museum and Library Services,2012,8.9,9,NA,NA,28.7,24
Institute of Museum and Library Services,2011,9.3,9.5,3.5,3.5,58.5,77
Broadcasting Board of Governors,2010,22,19,NA,NA,79,70
Office of the Secretary of Defense/Joint Staff,2010,15,4,921,921,4314,467
Federal Housing Finance Agency,2009,14,33,4,31,8,40
Federal Financial Institutions Council,2008,NA,NA,NA,NA,NA,NA
Office of Operations Coordination,2010,3,1,NA,NA,7.61,6
Inspector General,2008,3,3,NA,NA,NA,NA
Rural Development,2013,83.7,48.5,NA,NA,136.82,87
Office of Workers Compensation Programs,2010,41.5,12,34,24,27,11
Office of General Counsel,2011,25,20,NA,NA,25,25
Wage and Hour Division,2011,25.4,15,14,12,42.7,26
Office of Diversity and Inclusion (formerly DM&EEO - Office of Diversity Management and Equal Employment Opportunity),2012,NA,NA,NA,NA,NA,NA
OCR Region I - Boston,2011,18.72,16,NA,NA,161,77
Treasury Inspector General for Tax Administration,2010,12.9,10,10,10,82,18.3
Department of the Treasury,2012,17.26,5,31.8,6,25.75,14
Peace Corps,2008,14,12,NA,NA,3,3
Region 3 - Philadelphia,2011,17,15,NA,NA,35,31
Tennessee Valley Authority,2008,8,7,NA,NA,39,33
United States Department of the Air Force,2010,23,11,17,11,87,36
Office of the General Manager,2012,8.6,8,NA,NA,NA,NA
OCR Region VII- Kansas City,2012,33.65,18,NA,NA,227,227
United States Citizenship and Immigration Services,2011,61.41,55,44.59,17,74.32,69
Treasury Inspector General for Tax Administration,2009,17,15,NA,NA,90,31
Veterans Health Administration,2013,15.88,5,NA,176,1438,25.96
United States Parole Commission,2013,11.12,3,NA,NA,393,39.06
Office of Professional Responsibility,2008,45,18,NA,NA,141,141
Richland Operations Office,2010,11.36,7,NA,NA,NA,NA
Board of Veterans Appeals,2008,NA,NA,NA,NA,10,8.5
"Office of Operations, Security, and Preparedness (formerly S&LE - Security & Law Enforcement)",2010,13.71,13,NA,NA,NA,NA
Region 10,2013,19.67,10,NA,NA,8,72.7
NASA Management Office - Jet Propulsion Laboratory,2011,6.59,4,NA,NA,77,12.55
Forest Service,2012,21.92,13,23.12,16,43.27,25
Food and Nutrition Consumer Service,2013,17.43,17,15.5,8.5,28.67,16
United States Mint,2011,10,8,NA,NA,NA,NA
Department of Education,2009,41,10,56,56,59,32
Institute of Education Sciences - National Assessment Governing Board,2011,37,37,NA,NA,105,105
United States Parole Commission,2008,24,1,NA,NA,NA,NA
Tennessee Valley Authority,2013,9.48,9,NA,NA,77.92,36
Federal Motor Carrier Safety Administration,2011,36,39,35,16,39,39
Peace Corps,2012,25,17,27,24,184,185
Animal and Plant Health Inspection Service,2013,46.66,22,43,43,160.3,76
Transportation Security Administration,2008,37.95,21.5,43.66,9,55.42,42
Office of Labor Management Standards,2011,8.5,5,7.5,7.5,20,10.5
Court Services and Offender Supervision Agency,2012,37,17,NA,NA,NA,NA
Environmental Management Consolidated Business Center,2013,35.02,16,46,46,89,26.4
United States European Command,2011,101,19,NA,NA,402,277
Office of the Assistant Secretary for Policy,2011,214.1,43,NA,NA,424.4,507
Boston Regional Office,2009,7,5,NA,NA,NA,NA
Office of Construction and Facilities Management,2009,27,16.5,NA,NA,NA,NA
OCR Region V - Chicago,2011,15.32,19,NA,NA,24.25,14.5
Office of the Solicitor General,2009,15,30,NA,NA,3,10
Centers for Medicare & Medicaid Services,2013,18,11,102,37,36,2
United States Southern Command,2008,163,140,NA,NA,NA,NA
FOIA/Privacy Act Office,2010,24,20,NA,NA,80,52
Council of the Inspectors General on Integrity and Efficiency,2013,23,22,NA,NA,73,66
National Indian Gaming Commision,2008,10,15.7,12,9,26,28.2
National Aeronautics and Space Administration,2012,9.92,4,NA,NA,896,33.99
Region 6,2009,80.61,44,NA,NA,342,474.71
United Sates Department of Health and Human Services,2009,46,19,54,37,141,107
Environmental Protection Agency,2013,27.18,15,524,4,1344,55.86
Chemical Safety and Hazard Investigation Board,2011,18,20,107,20,429,283
OCR Region VIII - Denver,2011,13.34,13,NA,NA,20.75,24.5
Environment and Natural Resources Division,2011,16.35,12,7,7,35,76.5
Commodity Futures Trading Commission,2010,22.79,13,NA,NA,NA,NA
Department of Veterans Affairs,2013,16.71,5,NA,176,1438,35.53
Science and Technology Directorate,2012,11,12,NA,NA,81,58
United States Copyright Office,2010,30.3,14,NA,NA,NA,NA
Office of Legal Counsel,2011,136.02,23.5,60,239.25,2,447.35
Office of Science and Technology Policy,2010,11.26,2,37,20,21.3,20
Bureau of International Labor Affairs,2011,NA,NA,NA,NA,21.1,17
Savannah River Office,2010,15.06,11,NA,NA,NA,NA
Atlanta Regional Office,2008,10,8,NA,NA,NA,NA
Department of Defense Inspector General,2009,NA,NA,NA,NA,117,43
Maritime Administration,2013,127.9,23.5,NA,NA,129.5,129.5
Office of the Comptroller of the Currency,2011,8.8,3,15.1,8,47.7,33
Inter-American Foundation,2012,13.9,8,NA,NA,NA,NA
Office of Congressional and Legislative Affairs,2011,23.47,24,NA,NA,NA,NA
Health Resources and Services Administration,2013,76,64,NA,NA,NA,NA
Office of Communications and Outreach,2008,309,309,NA,NA,NA,NA
Office of Congressional and Legislative Affairs,2009,46,46,NA,NA,NA,NA
Chicago Regional Office,2009,1,1,NA,NA,NA,NA
Office of The Federal Detention Trustee,2013,NA,NA,NA,NA,NA,NA
Department of Transportation,2011,26.73,16,NA,193,1121,62.55
Office of Diversity Management & Equal Employment Opportunity,2008,NA,NA,NA,NA,NA,NA
National Indian Gaming Commision,2009,15.1,12,6,6,48.7,43.5
Bureau of Engraving and Printing,2010,10.4,16,1,1,11,15
Department of Energy,2009,48,13,77,27,935,112
Animal and Plant Health Inspection Service,2010,112,46,383,161,368,322
Federal Trade Commission,2009,6.59,3,NA,NA,24.55,14
Department of the Interior,2012,2,1,NA,369,1497,44
Department of Education,2011,30.83,18,6,4,103.24,83
Miami District Office,2013,15.37,15,NA,NA,11.33,11
Commodity Futures Trading Commission,2013,65,40,NA,NA,239.27,216
NASA Headquarters,2009,19,8,NA,NA,123,84
United States Special Operations Command,2011,134,7,NA,NA,345,64
Railroad Retirement Board,2010,12.14,12,NA,NA,NA,NA
Bureau of Public Debt,2013,NA,NA,NA,NA,8.5,66
Economic Development Administration,2010,4,5,2,2,32,31
Region 9,2012,10.56,8.5,29,29,99,28.87
Executive Office for Immigration Review,2011,21.94,17,46,6,252,26.87
"Adjudicatory Boards (ARB, BRB, ECAB)",2008,8.9,6,13,13,NA,NA
National Highway Traffic Safety Administration,2013,20,18,NA,NA,102,43
OCR District of Columbia,2010,41,16,NA,NA,64,32
Department of the Treasury,2011,10.9,5,91.5,21,27,13
United States Customs and Border Protection,2010,30.27,24,NA,NA,41.54,39
United States Department of State,2008,118,70,201,41,275,196
Office of Finance,2013,99,35,NA,NA,24.18,18
Office of the Assistant Secretary for Administration and Management,2008,NA,NA,6,6,30,23
Johnson Space Center,2011,80,17,NA,NA,NA,351
United States Consumer Product Safety Commission,2010,40,19,NA,NA,87,65
Employee Benefits Security Administration,2010,5.4,3,1.9,NA,19.7,9
Veterans' Employment and Training Service,2011,12.3,12,8,8,53.7,13
Region 7 - Kansas,2010,22,27,NA,NA,30,25
National Security Agency,2008,78,9,114,12,1785,2012
Region 3,2012,18.06,16,32,32,5,33.56
Agency Overall,2010,NA,NA,NA,NA,NA,NA
National Credit Union Administration,2013,11.08,8,163,163,346,59.55
Office of the Comptroller of the Currency,2013,10.51,7,NA,71,108,31.5
Administration for Community Living,2012,5,NA,NA,NA,NA,NA
